,Bids listed(29/12/2016),Siteid,Candidate Site URL,Source,Priority,Status,AssignedTo,Note,"Nothing
Captured","Due Date 
Wrong","Title
Wrong","Description 
Wrong","UTF
Encoding
Error","Opportunity
 Link
Wrong",SiteName,SiteDescription,SiteShortName,DefaultCustomerName,SiteURL,SourceType,DefaultOpportunityLongitude,DefaultOpportunityLatitude,DefaultCustomerType,DefaultCountry,DefaultState,DefaultCity,DefaultTimeZone,SiteProperty,DefaultAggregatorClass,AggregatorEnabled,SiteAggregateFrequencyInMins,Content Verified in Stage?,Content Verified in Production?
#11,☐,,https://www.kcmo.org/Ads/faces/AdSearch.jspx,Kansas City,,Verified,Prem Kumar,,☐,☐,☐,☐,☐,☐,Kansas City,Kansas City,Kansas City,Kansas City,https://www.kcmo.org/Ads/faces/AdSearch.jspx,Free,,,City,USA,MO,Kansas City,,,,,,,
#12,☑,329,http://www.kcata.org/about_kcata/entries/current_opportunities,KCATA,,Verified,Prem Kumar,,☐,☐,☐,☐,☐,☐,Kansas City Area Transportation Authority,Kansas City Area Transportation Authority,Kansas City Area Transportation Authority,Kansas City Area Transportation Authority,http://www.kcata.org/about_kcata/entries/current_opportunities,Free,,,Transportation,USA,MO,Kansas City,,,,,,,
#13,☑,331,https://kcmsd.ionwave.net/CurrentSourcingEvents.aspx,Kansas City Public Schools,,Verified,Prem Kumar,need to change agency name and title should not include identifier,☐,☐,☐,☐,☐,☐,Kansas City Public Schools,Kansas City Public Schools,Kansas City Public Schools,Kansas City Public Schools,https://kcmsd.ionwave.net/CurrentSourcingEvents.aspx,Free,,,K-12 Schools,USA,MO,Kansas City,,,,,,,
#14,☑,333,https://www.mercurycommerce.com/secure/SourcingEventPostingBoard/default.asp?Tab=SourcingEventPostingBoard&sID={1c9850b6c-8f62-46ff-be46-0010672efe7f},San Louis County,High,Verified,Prem Kumar,,☐,☐,☐,☐,☐,☐,San Louis County,San Louis County,San Louis County,San Louis County,https://www.mercurycommerce.com/secure/SourcingEventPostingBoard/default.asp?Tab=SourcingEventPostingBoard&sID={1c9850b6c-8f62-46ff-be46-0010672efe7f},Free,,,County,USA,MO,San Louis,,,,,,,
#15,☑,328,http://www.springfieldmo.gov/bids.aspx,City of Springfield,High,Verified,Akash Pandey,"not found on beta, bids have wrong prospective Customer name",☐,☐,☐,☐,☐,☐,City of Springfield,City of Springfield,City of Springfield,City of Springfield,http://www.springfieldmo.gov/bids.aspx,Free,,,City,USA,MO,Springfield,,,,,,,
#16,☑,,http://www.ci.independence.mo.us/Purchasing/Opportunities,City of Indepencence,,Verified,Prem Kumar,,☐,☐,☐,☐,☐,☐,City of Indepencence,City of Indepencence,City of Indepencence,City of Indepencence,http://www.ci.independence.mo.us/Purchasing/Opportunities,Free,,,City,USA,MO,Independence,,,,,,,
#18,☑,354,http://jcapps.jacksongov.org/BidAppPH2/,"JACKSON COUNTY
",Critical,Verified,Akash Pandey,"Site having large no. of bids having different formats for strings so facing difficulties in picking title(couldn't find a way to extract a well manner Title from 'PDF Document' for the Bid) I have Developed this site Using SinglePageAggregator rather than BinaryFileAggregator. 
(30-aug) need to remove text with link to pdf from description ",☐,☐,☐,☐,☐,☐,Jackson County,Jackson County,Jackson County,Jackson County,http://jcapps.jacksongov.org/BidAppPH2/,Free,-94.577942,39.099312,County,United States,Missouri,Kansas,America/Chicago,D:/IM/AggregatorWebApp/WebContent/WEB-INF/siteconfig/jackson_county.properties,com.instantmarkets.aggregator.parser.SinglePageAggregator,0,360,,
#19,☑,335,http://www.sccmo.org/Bids.aspx,ST CHARLES county,Critical,Verified,Akash Pandey,"Because I found in some of bids there is no description available and in some of them it is too small So I show a little intro about Bid where description is not presents and add Contact details with that detail to make that description enough to read for user. 
(11-jan) Wrong start date and due date
(22-aug-2017)- Wrong city
(23-aug-2017)- It is having coordinates of St. louis
(25-aug-2017)- It is verified on beta but it is having wrong city on prod so we need to remove it from production and deploy it.",☐,☐,☐,☐,☐,☐,St. Charles County,St. Charles County,St. Charles County,St. Charles County,http://www.sccmo.org/Bids.aspx,Free,-90.481796,38.782978,County,United States,Missouri,St. Louis,America/Chicago,D:/IM/AggregatorWebApp/WebContent/WEB-INF/siteconfig/st_charles_county.properties,com.instantmarkets.aggregator.parser.MultiListAggregator,0,360,,
#20,☐,,https://www.greenecountymo.org/purchasing/bids.php,GREENE county,Low,Valid Site,,Asking mail for the bids.,☐,☐,☐,☐,☐,☐,,,,,,Free,,,,,,,,,,,,,
#22,☑,336,https://www.co.buchanan.mo.us/Bids.aspx,BUCHANAN county,Medium,Verified,Akash Pandey,,☐,☐,☐,☐,☐,☐,Buchanan County,Buchanan County,Buchanan County,Buchanan County,https://www.co.buchanan.mo.us/Bids.aspx,Free,-94.854858,39.768597,County,United States,Missouri,St. Joseph,America/Chicago,D:/IM/AggregatorWebApp/WebContent/WEB-INF/siteconfig/buchanan_county.properties,com.instantmarkets.aggregator.parser.MultiListAggregator,0,360,,
#23,☑,1628,http://www.casscounty.com/Bids.aspx,CASS county,Low,Development Backlog,,"no bid listed atm but bids are posted every month. only a few though. 
",☐,☐,☐,☐,☐,☐,,,,,,Free,,,,,,,,,,,,,
#24,☑,390,http://www.colecounty.org/Bids.aspx?CatID=All&txtSort=Category&showAllBids=&Status=,COLE county,Medium,Verified,Akash Pandey,,☐,☐,☐,☐,☐,☐,Cole County,Cole County,Cole County,Cole County,http://www.colecounty.org/Bids.aspx,Free,-92.169083,38.574921,County,United States,Missouri,Jefferson,America/Chicago,D:/IM/AggregatorWebApp/WebContent/WEB-INF/siteconfig/cole_county.properties,com.instantmarkets.aggregator.parser.MultiListAggregator,0,360,,
#25,☑,396,http://www.demandstar.com/supplier/bids/agency_inc/bid_list.asp?f=search&mi=319693,CLAY county,Low,Verified,Akash Pandey,no bids on it (22/08/2017),☐,☐,☐,☐,☐,☐,Clay County,Clay County,Clay County,Clay County,http://www.demandstar.com/supplier/bids/agency_inc/bid_list.asp?f=search&mi=319693,Free,-94.419899,39.246475,County,United States,Missouri,Liberty,America/Chicago,D:/IM/AggregatorWebApp/WebContent/WEB-INF/siteconfig/clay_county.properties,com.instantmarkets.aggregator.parser.SinglePageAggregator,0,360,,
#26,☐,,http://www.capecounty.us/Requests%20for%20Bids.aspx,CAPE GIRARDEAU county,Low,Refused Site,,Duplicate,☐,☐,☐,☐,☐,☐,,,,,,Free,,,,,,,,,,,,,
#27,☐,,http://www.newtoncountymo.com/open-bids.html,NEWTON county,Low,Development Complete,Akash Pandey,"There was no any bids in which Post Date was given So I put 15 days ago date from the development completion date as Post Date for all the bids.There is encoding problem in a bid(Title:- 2016-15: Lien Searches) it shows “ to â in one place.
[UT][ There is due date but it is part of the description text. We will need to revisit this site. ",☐,☐,☐,☐,☐,☐,Newton County,Newton County,Newton County,Newton County,http://www.newtoncountymo.com/open-bids.html,Free,-94.367889,36.869125,County,United States,Missouri,Neosho,America/Chicago,D:/IM/AggregatorWebApp/WebContent/WEB-INF/siteconfig/newton_county.properties,com.instantmarkets.aggregator.parser.TokenizerAggregator,0,360,,
#28,☐,1938,http://www.jocoamb.com/rfpsbids.htm,JOHNSON county,Medium,Verified,Dishani,No open bids are listed all are old bids(later than 1 month).,☐,☐,☐,☐,☐,☐,,,,,,Free,,,,,,,,,,,,,
#29,☐,,https://www.co.platte.mo.us/county_in_action/bid_requests.html,PLATTE county,Low,Valid Site,,Bid too old,☐,☐,☐,☐,☐,☐,,,,,,Free,,,,,,,,,,,,,
#33,☑,,http://city.kcmo.org/kc/Ads/AdResults.aspx,KANSAS CITY municipal,Critical,In Development,Akash Pandey,Java Script function handeling Post Request.,☐,☐,☐,☐,☐,☐,,,,,,Free,,,,,,,,,,,,,
#34,☑,,https://www.springfieldmo.gov/bids.aspx,SPRINGFIELD muncipal,Critical,Invalid Site,Akash Pandey,"[UT] Duplicate of #15, needs to be removed from production",☐,☐,☐,☐,☐,☐,City of Springfield,City of Springfield,City of Springfield,City of Springfield,https://www.springfieldmo.gov/bids.aspx,Free,-93.292297,37.208958,City,United States,Missouri,Springfield,America/Chicago,D:/IM/AggregatorWebApp/WebContent/WEB-INF/siteconfig/spring_field_municipal.properties,com.instantmarkets.aggregator.parser.MultiListAggregator,0,360,,
#35,☑,,http://www.ci.independence.mo.us/Purchasing/Opportunities,INDEPENDENCE muncipal,Critical,Refused Site,Akash Pandey,Duplicate as #16.,☐,☐,☐,☐,☐,☐,,,,,,Free,,,,,,,,Public Purchase,,,,,
#36,☑,340,https://columbia.ionwave.net/CurrentSourcingEvents.aspx,COLUMBIA municipal,Critical,Verified,Dishani,"There is a Bid(id-104/2016) on wesite having currupted data in the description part so I pick that data as on website., failed on prod",☐,☐,☐,☐,☐,☐,City of Columbia,City of Columbia,City of Columbia,City of Columbia,https://columbia.ionwave.net/CurrentSourcingEvents.aspx,Free,-92.32914,38.9519,City,United States,Missouri,Columbia,America/Chicago,D:/IM/AggregatorWebApp/WebContent/WEB-INF/siteconfig/columbia_municipal.properties,com.instantmarkets.aggregator.parser.MultiListAggregator,0,360,,
#37,☑,341,http://www.stjoemo.info/bids.aspx,ST JOSEPH municipal,Medium,Verified,Akash Pandey,[UT] City site is down. It will be recheked when its back. ,☐,☐,☐,☐,☐,☐,City of St. Joseph,City of St. Joseph,City of St. Joseph,City of St. Joseph,http://www.stjoemo.info/bids.aspx,Free,-94.847336,39.767876,City,United States,Missouri,St. Joseph,America/Chicago,D:/IM/AggregatorWebApp/WebContent/WEB-INF/siteconfig/st_joseph_municipal.properties,com.instantmarkets.aggregator.parser.MultiListAggregator,0,360,,
#38,☑,,http://cityofls.net/City-of-Lees-Summit/Business-With-the-City/Bid-Opportunities,LEES SUMMIT municipal,Medium,Verified,Akash Pandey,1453,☐,☐,☐,☐,☐,☐,City of Lee's Summit,City of Lee's Summit,City of Lee's Summit,City of Lee's Summit,http://cityofls.net/City-of-Lees-Summit/Business-With-the-City/Bid-Opportunities,Free,-94.375549,38.913433,City,United States,Missouri,Lee's Summit,America/Chicago,D:/IM/AggregatorWebApp/WebContent/WEB-INF/siteconfig/lee's_summit.properties,com.instantmarkets.aggregator.parser.MultiListAggregator,0,360,,
#39,☑,369,http://www.florissantmo.com/topic/index.php?topicid=136&structureid=16,City of Florissant,Medium,Verified,Dishani,"not find on production made again(9-jan-2017), failed on prod",☐,☐,☐,☐,☐,☐,City of Florissant,City of Florissant,City of Florissant,City of Florissant,http://www.florissantmo.com/topic/index.php?topicid=136&structureid=16,Free,-90.322784,38.791965,City,United States,Missouri,Florissant,America/Chicago,D:/IM/AggregatorWebApp/WebContent/WEB-INF/siteconfig/florissant_municipal.properties,com.instantmarkets.aggregator.parser.SinglePageAggregator,0,360,,
#40,☑,1939,http://www.stpetersmo.net/current-bids.aspx,ST PETERS municipel,Medium,Verified,Akash Pandey,Some links Bid pdf but in some bid tabulation not bid struggling how to distinguish them.(9-jan-2017),☐,☐,☐,☐,☐,☐,,,,,,Free,,,,,,,,,,,,,
#41,☑,1603,http://www.bluespringsgov.com/Bids.aspx,City of Blue Springs,Medium,Verified,Akash Pandey,SiteID:1603  running on production(9-jan-2017),☐,☐,☐,☐,☐,☐,City of Blue Springs,City of Blue Springs,City of Blue Springs,City of Blue Springs,http://www.bluespringsgov.com/Bids.aspx,Free,-94.276062,39.018654,City,United States,Missouri,Blue Springs,America/Chicago,D:/IM/AggregatorWebApp/WebContent/WEB-INF/siteconfig/blue_springs.properties,com.instantmarkets.aggregator.parser.MultiListAggregator,0,360,,
#42,☑,1940,http://www.joplinmo.org/Bids.aspx,JOPLIN municipal,Medium,Verified,Dishani," Having XML parser error during loading source page shows ""div should be followed by specific attribute or > or />"" not find beta as well as on production made again(9-jan-2016)",☐,☐,☐,☐,☐,☐,,,,,,Free,,,,,,,,,,,,,
#43,☑,342,http://www.ucitymo.org/Bids.aspx?,UNIVERSITY CITY Municipal,Low,Verified,Dishani,"not find on production made again(9-jan-2017), wrong opportunity identifier,(8/8/2017) need to remove bid on production bz. opps. identifier wrong
(21-aug-2017) awaiting deployment on production",☐,☐,☐,☐,☐,☐,City of University City,City of University City,City of University City,City of University City,http://www.ucitymo.org/Bids.aspx?CatID=All&txtSort=Category&showAllBids=&Status=,Free,-90.348045,38.660118,City,United States,Missouri,St. Louis,America/Chicago,D:/IM/AggregatorWebApp/WebContent/WEB-INF/siteconfig/university_city.properties,com.instantmarkets.aggregator.parser.MultiListAggregator,0,360,,
#44,☐,,http://documents.jeffcitymo.org/WebLink8/Browse.aspx?startid=279956,JEFFERSON CITY municipal,Critical,Development Backlog,Akash Pandey,Bid Tabulation are Listed intead of Bids.,☐,☐,☐,☐,☐,☐,,,,,,Free,,,,,,,,,,,,,
#45,☑,,http://www.ofallon.mo.us/bid-opportunities,O FALLON Municipal,Medium,Development Backlog,Akash Pandey,No bid are listed.(09-jan-2017),☐,☐,☐,☐,☐,☐,,,,,,Free,,,,,,,,,,,,,
#46,☑,376,http://www.kirkwoodmo.org/content/City-Departments/1934/bid-opportunities.aspx,City of Kirkwood,High,Verified,Akash Pandey,not on production so made again(9-jan-2017),☐,☐,☐,☐,☐,☐,City of Kirkwood,City of Kirkwood,City of Kirkwood,City of Kirkwood,http://www.kirkwoodmo.org/content/City-Departments/1934/bid-opportunities.aspx,Free,-90.403625,38.579426,City,United States,Missouri,Kirkwood,America/Chicago,D:/IM/AggregatorWebApp/WebContent/WEB-INF/siteconfig/kirkwood_municipal.properties,com.instantmarkets.aggregator.parser.SinglePageAggregator,0,360,,
#47,☑,1626,http://www.slps.org/site/Default.aspx?PageID=1127,Saint Louis Public Schools,Critical,Development Backlog,Akash Pandey,"Different format pdfs troubling in scrapping the data and also having date in format May 3rd, 2016 due rd having problem our BinaryFileAggregator doesn't parse this date.  Akash:made again try(9-jan-2017), 
Some bids have long opp title",☐,☐,☐,☐,☐,☐,,,,,,Free,,,,,,,,,,,,,
#48,☑,375,http://www.springfieldpublicschoolsmo.org/pages/SPSMO/About/Departments/Purchasing/Vendor_Links/Current_Bids,SPRINGFIELD SCH DIST R-12 school,High,Verified,Akash Pandey,"running on production(9-jan-2017)
(23-aug-2017) need to remove ""R-12"" from source name and customer name
(24-aug-2017) failed on production",☐,☐,☐,☐,☐,☐,Springfield Public School R-12,Springfield Public School R-12,Springfield Public School R-12,Springfield Public School R-12,http://www.springfieldpublicschoolsmo.org/pages/SPSMO/About/Departments/Purchasing/Vendor_Links/Current_Bids,Free,-93.268883,37.214149,School,United States,Missouri,Springfield,America/Chicago,D:/IM/AggregatorWebApp/WebContent/WEB-INF/siteconfig/springfield_public_school.properties,com.instantmarkets.aggregator.parser.SinglePageAggregator,0,360,,
#49,☑,344,http://www.cpsk12.org/Page/5794,Columbia Public School,Critical,Verified,Akash Pandey,catching only 1 bid so made again(9-jan-2017),☐,☐,☐,☐,☐,☐,Columbia Public School,Columbia Public School,Columbia Public School,Columbia Public School,http://www.cpsk12.org/Page/5794,Free,-92.365982,38.960144,School,United States,Missouri,Columbia,America/Chicago,D:/IM/AggregatorWebApp/WebContent/WEB-INF/siteconfig/columbia_public_school.properties,com.instantmarkets.aggregator.parser.MultiListAggregator,0,360,,
#50,☑,345,http://www.cpsk12.org/Page/5795,COLUMBIA SCHOOL DIST 93 school,Medium,Verified,Akash Pandey,no bid on it(10/08/2017),☐,☐,☐,☐,☐,☐,Columbia Public School,Columbia Public School,Columbia Public School,Columbia Public School,http://www.cpsk12.org/Page/5795,Free,-92.365982,38.960144,School,United States,Missouri,Columbia,America/Chicago,D:/IM/AggregatorWebApp/WebContent/WEB-INF/siteconfig/columbia_public_school2.properties,com.instantmarkets.aggregator.parser.MultiListAggregator,0,360,,
#51,☐,,https://www.hazelwoodschools.org/Page/485,HAZELWOOD SCH DIST R-1 school,Low,Development Backlog,Akash Pandey,No bid are listed.(10/08/2017),☐,☐,☐,☐,☐,☐,,,,,,Free,,,,,,,,,,,,,
#69,☑,382,http://www.raypec.k12.mo.us/Bids.aspx?,RAYMORE-PECULIAR SCH DIST R-2,Medium,Development Backlog,Akash Pandey,running on production(09-jan-2017) no bids on it (23/08/2017),☐,☐,☐,☐,☐,☐,Raymore Peculiar School District,Raymore Peculiar School District,Raymore Peculiar School District,Raymore Peculiar School District,http://www.raypec.k12.mo.us/Bids.aspx?,Free,-94.459656,38.749943,School,United States,Missouri,Kansas,America/Chicago,D:/IM/AggregatorWebApp/WebContent/WEB-INF/siteconfig/raymore_peculiar_school2.properties,com.instantmarkets.aggregator.parser.MultiListAggregator,0,360,,
#53,☑,,http://www.mvr3.k12.mo.us/vnews/display.v/SEC/Administration%7CRFP%20BIDS, MERAMEC VALLEY SCH DIST R 3 school,Medium,Refused Site,,duplicate site same as #67,☐,☐,☐,☐,☐,☐,Meramec Valley R-III School District,Meramec Valley R-III School District,Meramec Valley R-III School District,Meramec Valley R-III School District,http://www.mvr3.k12.mo.us/vnews/display.v/SEC/Administration%7CRFP%20BIDS,Free,-90.753746,38.48328,School,United States,Missouri,Pacific,America/Chicago,D:/IM/AggregatorWebApp/WebContent/WEB-INF/siteconfig/meramec_valley_school.properties,com.instantmarkets.aggregator.parser.BinaryFileAggregator,0,360,,
#54,☐,,http://www.hannibal60.com/bids,HANNIBAL SCH DIST 60 school,Low,Development Backlog,Akash Pandey,No bid are listed.(09-jan-2017),☐,☐,☐,☐,☐,☐,,,,,,Free,,,,,,,,,,,,,
#55,☐,,http://www.lebanon.k12.mo.us/main/administration/bids/,LEBANON SCH DIST R 3  school,Low,Verified,Akash Pandey,No bid are listed.(09-jan-2017),☐,☐,☐,☐,☐,☐,Lebanon R-III School District,Lebanon R-III School District,Lebanon R-III School District,Lebanon R-III School District,http://www.lebanon.k12.mo.us/main/administration/bids/,Free,-92.679993,37.693382,School,United States,Missouri,Lebanon,America/Chicago,D:/IM/AggregatorWebApp/WebContent/WEB-INF/siteconfig/lebanon_r_school.properties,com.instantmarkets.aggregator.parser.BinaryFileAggregator,0,360,,
#56,☑,,http://www.liberty.k12.mo.us/search/search_results?d=x&search_term=+bids,LIBERTY SCH DIST 53 school,Critical,Development Backlog,Akash Pandey,Having Robot verification on URL as well as on Bids links.(9-jan-2017) no open bids on it (10/08/2017),☐,☐,☐,☐,☐,☐,,,,,,Free,,,,,,,,,,,,,
#57,☑,351,https://kcmsd.ionwave.net/CurrentSourcingEvents.aspx,KANSAS CITY SCH DIST 33 school,Critical,Verified,Akash Pandey,no bids on it (10/08/2017),☐,☐,☐,☐,☐,☐,Kansas Public School,Kansas Public School,Kansas Public School,Kansas Public School,https://kcmsd.ionwave.net/CurrentSourcingEvents.aspx,Free,-94.579361,39.099339,School,United States,Missouri,Kansas,America/Chicago,D:/IM/AggregatorWebApp/WebContent/WEB-INF/siteconfig/kansas_public_school.properties,com.instantmarkets.aggregator.parser.MultiListAggregator,0,360,,
#58,☑,1942,https://www.nkcschools.org/Page/4275,NORTH KANSAS CITY SCHOOL DIST 74 school,Low,Development Backlog,Dishani,scraping string not readable,☐,☐,☐,☐,☐,☐,,,,,,Free,,,,,,,,,,,,,
#59,☑,,http://www.bssd.net/Page/17054,BLUE SPRINGS SCH DIST R-4 shool,Low,Development Backlog,,No bid listed(9-jan-2017),☐,☐,☐,☐,☐,☐,,,,,,Free,,,,,,,,,,,,,
#60,☐,,https://www.planetbids.com/portal/portal.cfm?CompanyID=27999,HICKMAN MILLS SCH DIST 1 school,Low,Development Backlog,,Running Flash Player ,☐,☐,☐,☐,☐,☐,,,,,,Free,,,,,,,,,,,,,
#61,☐,,http://www.stcharles.k12.mo.us/pages2/bids_rfps.html,ST CHARLES CO. SCHOOL DIST. R-6,Low,Development Backlog,,No bid listed(9-jan-2017),☐,☐,☐,☐,☐,☐,,,,,,Free,,,,,,,,,,,,,
#62,☐,,http://www.rgsd.k12.mo.us/?DivisionID=8175&ToggleSideNav=,RIVERVIEW GARDENS SCHOOL DIST school,Medium,Development Backlog,Akash Pandey,No bid listed(9-jan-2017),☐,☐,☐,☐,☐,☐,,,,,,Free,,,,,,,,,,,,,
#63,☐,,http://www.webster.k12.mo.us/pages/WGSD/Departments/District_Departments/Business_Office/Elements/New_Left_Nav/Facilities/RFP,WEBSTER GROVES SCH DIST school,Low,Development Backlog,,No bid listed(9-jan-2017),☐,☐,☐,☐,☐,☐,,,,,,Free,,,,,,,,,,,,,
#64,☐,,http://www.sedalia200.org/Page/816,SEDALIA SCH DIST 200 school,Medium,Development Backlog,,Old bid listed(9-jan-2017),☐,☐,☐,☐,☐,☐,,,,,,Free,,,,,,,,,,,,,
#65,☐,,http://www.csd4.k12.mo.us/rfpandbids.html, GRANDVIEW SCH DIST C4 school,Medium,Development Backlog,Akash Pandey,Binary aggregator doesn't parse date format like Tuesday May 3rd.(year is absent)  Akash:Now URL has changed and changed URL doesn't have bids(9-jan-2017),☐,☐,☐,☐,☐,☐,,,,,,Free,,,,,,,,,,,,,
#66,☐,,http://www.neoshopublicschools.net/pages/NeoshoR5/Services/Buildings_and_Grounds/Bid_Postings,NEOSHO SCH DIST R-5  school,Medium,Development Backlog,Akash Pandey,No bid having Post date and Our BinaryFileAggregator while setting default post date it takes date 15 days ago from present day which may cross the due date of the bids and also Unable to make it via SinglePage Aggregator(Having only Titles)  AKash:now site down look later(9-jan-2017),☐,☐,☐,☐,☐,☐,,,,,,Free,,,,,,,,,,,,,
#67,☑,500,http://www.mvr3.k12.mo.us/vnews/display.v/SEC/Administration%7CRFP%20BIDS,MERAMEC VALLEY SCH DIST R 3 school,Medium,Development Complete,Akash Pandey,no bid listed now(9-jan-2017),☐,☐,☐,☐,☐,☐,Meramec Valley R-III School District,Meramec Valley R-III School District,Meramec Valley R-III School District,http://www.mvr3.k12.mo.us/vnews/display.v/SEC/Administration%7CRFP%20BIDS,http://www.mvr3.k12.mo.us/vnews/display.v/SEC/Administration%7CRFP%20BIDS,Free,-90.753746,38.48328,School,United States,Missouri,Pacific,America/Chicago,D:/IM/AggregatorWebApp/WebContent/WEB-INF/siteconfig/meramec_valley_school.properties,com.instantmarkets.aggregator.parser.BinaryFileAggregator,0,360,,
#68,☐,,http://www.hsdr3.org/#!about1/cj1f,HILLSBORO SCH DIST R 3 school,Low,Refused Site,Akash Pandey,duplicate site same as #77,☐,☐,☐,☐,☐,☐,,,,,,Free,,,,,,,,,,,,,
#69,☑,346,http://www.raypec.k12.mo.us/Bids.aspx?CatID=showStatus&txtSort=Category&showAllBids=on&Status=open,RAYMORE-PECULIAR SCH DIST R-2,Critical,Verified,Akash Pandey,"running on production(9-jan-2017), no bid on it (23/08/2017)",☐,☐,☐,☐,☐,☐,Raymore Peculiar School District,Raymore Peculiar School District,Raymore Peculiar School District,Raymore Peculiar School District,http://www.raypec.k12.mo.us/Bids.aspx?CatID=showStatus&txtSort=Category&showAllBids=on&Status=open,Free,-94.459656,38.749943,School,United States,Missouri,Kansas,America/Chicago,D:/IM/AggregatorWebApp/WebContent/WEB-INF/siteconfig/raymore_peculiar_school.properties,com.instantmarkets.aggregator.parser.MultiListAggregator,0,360,,
